dou_codig,dou_anio,dou_universidad,dou_semestre,dou_nivel_educacion_superior,dou_programa,dou_categoria_personalU,dou_genero,dou_num_personalU
166,2014,1,2,6,,1,2,0
167,2014,1,2,6,,2,2,0
168,2014,1,2,6,,3,2,18
169,2014,3,1,5,,1,1,27
170,2014,3,1,5,,2,1,12
171,2014,3,1,5,,3,1,24
172,2014,3,1,5,,1,2,14
173,2014,3,1,5,,2,2,16
174,2014,3,1,5,,3,2,11
175,2014,3,2,5,,1,1,29
176,2014,3,2,5,,2,1,16
177,2014,3,2,5,,3,1,24
178,2014,3,2,5,,1,2,13
179,2014,3,2,5,,2,2,13
180,2014,3,2,5,,3,2,12
181,2014,3,1,6,,1,1,0
182,2014,3,1,6,,2,1,0
183,2014,3,1,6,,3,1,0
184,2014,3,1,6,,1,2,0
185,2014,3,1,6,,2,2,0
186,2014,3,1,6,,3,2,0
187,2014,3,2,6,,1,1,0
188,2014,3,2,6,,2,1,0
189,2014,3,2,6,,3,1,0
190,2014,3,2,6,,1,2,0
191,2014,3,2,6,,2,2,0
192,2014,3,2,6,,3,2,0
193,2014,4,1,5,79,1,1,3
194,2014,4,1,5,79,3,1,36
195,2014,4,1,5,79,1,2,1
196,2014,4,1,5,79,3,2,7
197,2014,4,1,5,80,1,1,2
198,2014,4,1,5,80,3,1,21
199,2014,4,1,5,80,1,2,0
200,2014,4,1,5,80,3,2,0
201,2014,4,1,5,81,1,1,2
202,2014,4,1,5,81,3,1,3
203,2014,4,1,5,81,1,2,0
204,2014,4,1,5,81,3,2,0
205,2014,4,1,5,82,1,1,0
206,2014,4,1,5,82,3,1,10
207,2014,4,1,5,82,1,2,0
208,2014,4,1,5,82,3,2,3
209,2014,4,1,5,83,1,1,2
210,2014,4,1,5,83,3,1,11
211,2014,4,1,5,83,1,2,0
212,2014,4,1,5,83,3,2,10
213,2014,4,1,5,84,1,1,0
214,2014,4,1,5,84,3,1,20
215,2014,4,1,5,84,1,2,0
216,2014,4,1,5,84,3,2,6
217,2014,4,1,5,85,1,1,4
218,2014,4,1,5,85,3,1,16
219,2014,4,1,5,85,1,2,2
220,2014,4,1,5,85,3,2,6
221,2014,4,1,5,86,1,1,7
222,2014,4,1,5,86,3,1,26
223,2014,4,1,5,86,1,2,4
224,2014,4,1,5,86,3,2,16
225,2014,4,1,5,44,1,1,5
226,2014,4,1,5,44,3,1,17
227,2014,4,1,5,44,1,2,1
228,2014,4,1,5,44,3,2,4
229,2014,4,1,5,45,1,1,23
230,2014,4,1,5,45,3,1,76
231,2014,4,1,5,45,1,2,9
232,2014,4,1,5,45,3,2,30
233,2014,4,1,6,87,1,1,0
234,2014,4,1,6,87,3,1,7
235,2014,4,1,6,87,1,2,0
236,2014,4,1,6,87,3,2,2
237,2014,4,2,5,79,1,1,3
238,2014,4,2,5,79,3,1,33
239,2014,4,2,5,79,1,2,1
240,2014,4,2,5,79,3,2,7
241,2014,4,2,5,80,1,1,2
242,2014,4,2,5,80,3,1,19
243,2014,4,2,5,80,1,2,0
244,2014,4,2,5,80,3,2,6
245,2014,4,2,5,81,1,1,2
246,2014,4,2,5,81,3,1,3
247,2014,4,2,5,81,1,2,0
