runi_codigo,runi_anio,runi_universidad,runi_semestre,runi_nivel_educacion_superior,runi_programa,runi_categoria_registro,runi_genero,runi_num_personas
146,2014,2,1,5,20,5,2,37
147,2014,2,1,5,35,5,2,0
148,2014,2,1,5,76,5,2,0
149,2014,2,1,5,49,5,2,19
150,2014,2,1,6,48,5,2,40
151,2014,2,2,5,1,1,1,12
152,2014,2,2,5,6,1,1,30
153,2014,2,2,5,44,1,1,127
154,2014,2,2,5,41,1,1,511
155,2014,2,2,5,45,1,1,460
156,2014,2,2,5,34,1,1,33
157,2014,2,2,5,20,1,1,114
158,2014,2,2,5,35,1,1,0
159,2014,2,2,5,76,1,1,8
160,2014,2,2,5,49,1,1,12
161,2014,2,2,6,48,1,1,12
162,2014,2,2,5,1,1,2,11
163,2014,2,2,5,6,1,2,70
164,2014,2,2,5,44,1,2,47
165,2014,2,2,5,41,1,2,626
166,2014,2,2,5,45,1,2,349
167,2014,2,2,5,34,1,2,236
168,2014,2,2,5,20,1,2,54
169,2014,2,2,5,35,1,2,0
170,2014,2,2,5,76,1,2,0
171,2014,2,2,5,49,1,2,15
172,2014,2,2,6,48,1,2,30
173,2014,2,2,5,1,2,1,1
174,2014,2,2,5,6,2,1,4
175,2014,2,2,5,44,2,1,6
176,2014,2,2,5,41,2,1,38
177,2014,2,2,5,45,2,1,16
178,2014,2,2,5,34,2,1,1
179,2014,2,2,5,20,2,1,10
180,2014,2,2,5,35,2,1,1
181,2014,2,2,5,76,2,1,7
182,2014,2,2,5,49,2,1,6
183,2014,2,2,6,48,2,1,0
184,2014,2,2,5,1,2,2,0
185,2014,2,2,5,6,2,2,7
186,2014,2,2,5,44,2,2,6
187,2014,2,2,5,41,2,2,72
188,2014,2,2,5,45,2,2,15
189,2014,2,2,5,34,2,2,9
190,2014,2,2,5,20,2,2,6
191,2014,2,2,5,35,2,2,0
192,2014,2,2,5,76,2,2,0
193,2014,2,2,5,49,2,2,7
194,2014,2,2,6,48,2,2,3
195,2014,2,2,5,1,3,1,1
196,2014,2,2,5,6,3,1,2
197,2014,2,2,5,44,3,1,11
198,2014,2,2,5,41,3,1,53
199,2014,2,2,5,45,3,1,16
200,2014,2,2,5,34,3,1,1
201,2014,2,2,5,20,3,1,25
202,2014,2,2,5,35,3,1,0
203,2014,2,2,5,76,3,1,3
204,2014,2,2,5,49,3,1,8
205,2014,2,2,6,48,3,1,5
206,2014,2,2,5,1,3,2,0
207,2014,2,2,5,6,3,2,3
208,2014,2,2,5,44,3,2,3
209,2014,2,2,5,41,3,2,61
210,2014,2,2,5,45,3,2,6
211,2014,2,2,5,34,3,2,20
212,2014,2,2,5,20,3,2,7
213,2014,2,2,5,35,3,2,0
214,2014,2,2,5,76,3,2,0
215,2014,2,2,5,49,3,2,18
216,2014,2,2,6,48,3,2,18
217,2014,2,2,5,1,4,1,1
218,2014,2,2,5,6,4,1,3
219,2014,2,2,5,44,4,1,4
220,2014,2,2,5,41,4,1,16
221,2014,2,2,5,45,4,1,22
222,2014,2,2,5,34,4,1,1
223,2014,2,2,5,20,4,1,8
224,2014,2,2,5,35,4,1,1
225,2014,2,2,5,76,4,1,7
226,2014,2,2,5,49,4,1,6
227,2014,2,2,6,48,4,1,0
228,2014,2,2,5,1,4,2,0
229,2014,2,2,5,6,4,2,7
230,2014,2,2,5,44,4,2,2
231,2014,2,2,5,41,4,2,28
232,2014,2,2,5,45,4,2,21
233,2014,2,2,5,34,4,2,9
234,2014,2,2,5,20,4,2,5
235,2014,2,2,5,35,4,2,0
236,2014,2,2,5,76,4,2,0
237,2014,2,2,5,49,4,2,7
238,2014,2,2,6,48,4,2,3
239,2014,2,2,5,1,5,1,1
240,2014,2,2,5,6,5,1,2
241,2014,2,2,5,44,5,1,20
242,2014,2,2,5,41,5,1,19
243,2014,2,2,5,45,5,1,21
244,2014,2,2,5,34,5,1,0
245,2014,2,2,5,20,5,1,24
246,2014,2,2,5,35,5,1,0
247,2014,2,2,5,76,5,1,3
248,2014,2,2,5,49,5,1,8
249,2014,2,2,6,48,5,1,5
250,2014,2,2,5,1,5,2,0
251,2014,2,2,5,6,5,2,3
252,2014,2,2,5,44,5,2,1
253,2014,2,2,5,41,5,2,21
254,2014,2,2,5,45,5,2,13
255,2014,2,2,5,34,5,2,15
256,2014,2,2,5,20,5,2,6
257,2014,2,2,5,35,5,2,0
258,2014,2,2,5,76,5,2,0
259,2014,2,2,5,49,5,2,18
260,2014,2,2,6,48,5,2,18
261,2014,3,1,5,,1,1,399
262,2014,3,1,6,,1,1,1
263,2014,3,1,5,,1,2,286
264,2014,3,1,6,,1,2,3
265,2014,3,2,5,,1,1,230
266,2014,3,2,6,,1,1,0
267,2014,3,2,5,,1,2,175
268,2014,3,2,6,,1,2,0
269,2014,3,1,5,,2,1,186
270,2014,3,1,6,,2,1,0
271,2014,3,1,5,,2,2,118
272,2014,3,1,6,,2,2,0
273,2014,3,2,5,,2,1,144
274,2014,3,2,6,,2,1,0
275,2014,3,2,5,,2,2,80
276,2014,3,2,6,,2,2,0
277,2014,3,1,5,,3,1,803
278,2014,3,1,6,,3,1,0
279,2014,3,1,5,,3,2,589
280,2014,3,1,6,,3,2,0
281,2014,3,2,5,,3,1,778
282,2014,3,2,6,,3,1,0
283,2014,3,2,5,,3,2,581
284,2014,3,2,6,,3,2,0
285,2014,3,1,5,,4,1,4
286,2014,3,1,6,,4,1,0
287,2014,3,1,5,,4,2,5
288,2014,3,1,6,,4,2,0
289,2014,3,2,5,,4,1,3
290,2014,3,2,6,,4,1,0
291,2014,3,2,5,,4,2,2
292,2014,3,2,6,,4,2,0
293,2014,3,1,5,,5,1,32
294,2014,3,1,6,,5,1,0
295,2014,3,1,5,,5,2,52
296,2014,3,1,6,,5,2,1
297,2014,3,2,5,,5,1,32
298,2014,3,2,6,,5,1,0
299,2014,3,2,5,,5,2,39
300,2014,3,2,6,,5,2,1
301,2014,4,1,5,79,1,1,6
302,2014,4,1,5,80,1,1,19
303,2014,4,1,5,81,1,1,0
304,2014,4,1,5,82,1,1,3
305,2014,4,1,5,83,1,1,5
306,2014,4,1,5,84,1,1,17
307,2014,4,1,5,85,1,1,29
308,2014,4,1,5,86,1,1,132
309,2014,4,1,5,44,1,1,57
310,2014,4,1,5,45,1,1,396
311,2014,4,1,6,87,1,1,8
312,2014,4,1,5,79,1,2,18
313,2014,4,1,5,80,1,2,25
314,2014,4,1,5,81,1,2,0
315,2014,4,1,5,82,1,2,7
316,2014,4,1,5,83,1,2,13
317,2014,4,1,5,84,1,2,29
318,2014,4,1,5,85,1,2,24
319,2014,4,1,5,86,1,2,179
320,2014,4,1,5,44,1,2,24
321,2014,4,1,5,45,1,2,249
322,2014,4,1,6,87,1,2,10
323,2014,4,2,5,79,1,1,17
324,2014,4,2,5,80,1,1,14
325,2014,4,2,5,81,1,1,0
