ddo_codigo,ddo_codMunicipio,ddo_anio,ddo_categoria_directivo_docente,ddo_num_directivo_docente
274,41359,2014,1,7
275,41378,2014,1,5
276,41396,2014,1,18
277,41483,2014,1,4
278,41001,2014,1,36
279,41503,2014,1,3
280,41518,2014,1,1
281,41524,2014,1,7
282,41530,2014,1,5
283,41548,2014,1,4
284,41551,2014,1,16
285,41615,2014,1,4
286,41660,2014,1,2
287,41668,2014,1,9
288,41676,2014,1,4
289,41770,2014,1,7
290,41791,2014,1,6
291,41799,2014,1,4
292,41801,2014,1,3
293,41797,2014,1,4
294,41807,2014,1,6
295,41872,2014,1,3
296,41885,2014,1,2
297,41006,2014,2,0
298,41013,2014,2,1
299,41016,2014,2,1
300,41020,2014,2,0
301,41026,2014,2,0
302,41078,2014,2,1
303,41132,2014,2,1
304,41206,2014,2,1
305,41244,2014,2,0
306,41298,2014,2,1
307,41306,2014,2,0
308,41319,2014,2,0
309,41349,2014,2,0
310,41357,2014,2,0
311,41359,2014,2,0
312,41378,2014,2,1
313,41396,2014,2,0
314,41483,2014,2,0
315,41001,2014,2,1
316,41503,2014,2,0
317,41518,2014,2,0
318,41524,2014,2,0
319,41530,2014,2,0
320,41548,2014,2,2
321,41551,2014,2,0
322,41615,2014,2,0
323,41660,2014,2,0
324,41668,2014,2,0
325,41676,2014,2,0
326,41770,2014,2,0
327,41791,2014,2,0
328,41799,2014,2,0
329,41801,2014,2,0
330,41797,2014,2,0
331,41807,2014,2,0
332,41872,2014,2,1
333,41885,2014,2,0
334,41006,2014,4,11
335,41013,2014,4,3
336,41016,2014,4,5
337,41020,2014,4,7
338,41026,2014,4,1
339,41078,2014,4,2
340,41132,2014,4,10
341,41206,2014,4,1
342,41244,2014,4,2
343,41298,2014,4,23
344,41306,2014,4,14
345,41319,2014,4,8
346,41349,2014,4,3
347,41357,2014,4,3
348,41359,2014,4,9
349,41378,2014,4,3
350,41396,2014,4,22
351,41483,2014,4,2
352,41001,2014,4,87
353,41503,2014,4,4
354,41518,2014,4,3
355,41524,2014,4,8
356,41530,2014,4,2
357,41548,2014,4,4
358,41551,2014,4,43
359,41615,2014,4,7
360,41660,2014,4,5
361,41668,2014,4,11
362,41676,2014,4,3
363,41770,2014,4,4
364,41791,2014,4,7
365,41799,2014,4,4
366,41801,2014,4,2
367,41797,2014,4,4
368,41807,2014,4,6
369,41872,2014,4,1
370,41885,2014,4,3
371,41006,2014,6,294
372,41013,2014,6,87
373,41016,2014,6,158
374,41020,2014,6,202
375,41026,2014,6,35
376,41078,2014,6,80
377,41132,2014,6,249
378,41206,2014,6,88
379,41244,2014,6,38
380,41298,2014,6,583
381,41306,2014,6,272
382,41319,2014,6,170
383,41349,2014,6,58
384,41357,2014,6,113
385,41359,2014,6,216
386,41378,2014,6,142
387,41396,2014,6,573
388,41483,2014,6,69
389,41001,2014,6,2100
390,41503,2014,6,105
391,41518,2014,6,61
392,41524,2014,6,230
393,41530,2014,6,108
394,41548,2014,6,135
395,41551,2014,6,1012
396,41615,2014,6,175
397,41660,2014,6,108
398,41668,2014,6,289
399,41676,2014,6,108
400,41770,2014,6,171
401,41791,2014,6,179
402,41799,2014,6,129
403,41801,2014,6,75
404,41797,2014,6,98
405,41807,2014,6,187
406,41872,2014,6,68
407,41885,2014,6,61
408,41006,2014,7,0
409,41013,2014,7,0
410,41016,2014,7,0
411,41020,2014,7,0
412,41026,2014,7,0
413,41078,2014,7,0
414,41132,2014,7,0
415,41206,2014,7,0
416,41244,2014,7,0
417,41298,2014,7,1
418,41306,2014,7,0
419,41319,2014,7,0
420,41349,2014,7,0
421,41357,2014,7,0
422,41359,2014,7,0
423,41378,2014,7,0
424,41396,2014,7,3
425,41483,2014,7,0
426,41001,2014,7,0
427,41503,2014,7,0
428,41518,2014,7,0
429,41524,2014,7,1
430,41530,2014,7,0
431,41548,2014,7,0
432,41551,2014,7,0
433,41615,2014,7,0
434,41660,2014,7,0
435,41668,2014,7,0
436,41676,2014,7,0
437,41770,2014,7,0
438,41791,2014,7,1
439,41799,2014,7,0
440,41801,2014,7,0
441,41797,2014,7,1
442,41807,2014,7,0
443,41872,2014,7,0
444,41885,2014,7,0
445,41006,2014,5,3
446,41013,2014,5,1
447,41016,2014,5,1
448,41020,2014,5,3
449,41026,2014,5,1
450,41078,2014,5,1
451,41132,2014,5,3
452,41206,2014,5,0
453,41244,2014,5,1
454,41298,2014,5,8
455,41306,2014,5,5
456,41319,2014,5,3
457,41349,2014,5,1
458,41357,2014,5,1
459,41359,2014,5,2
460,41378,2014,5,2
461,41396,2014,5,7
462,41483,2014,5,1
463,41001,2014,5,37
464,41503,2014,5,1
465,41518,2014,5,1
466,41524,2014,5,3
467,41530,2014,5,1
468,41548,2014,5,1
469,41551,2014,5,0
470,41615,2014,5,2
471,41660,2014,5,2
472,41668,2014,5,2
473,41676,2014,5,1
474,41770,2014,5,1
475,41791,2014,5,2
476,41799,2014,5,2
477,41801,2014,5,1
478,41797,2014,5,1
479,41807,2014,5,1
480,41872,2014,5,0
481,41885,2014,5,1
482,41006,2013,1,9
483,41013,2013,1,3
484,41016,2013,1,3
485,41020,2013,1,6
486,41026,2013,1,1
487,41078,2013,1,3
488,41132,2013,1,5
489,41206,2013,1,5
490,41244,2013,1,1
491,41298,2013,1,13
492,41306,2013,1,8
493,41319,2013,1,3
494,41349,2013,1,1
495,41357,2013,1,5
496,41359,2013,1,7
497,41378,2013,1,5
498,41396,2013,1,18
499,41483,2013,1,4
500,41001,2013,1,0
501,41503,2013,1,3
502,41518,2013,1,1
503,41524,2013,1,7
504,41530,2013,1,5
505,41548,2013,1,4
506,41551,2013,1,0
507,41615,2013,1,4
508,41660,2013,1,2
509,41668,2013,1,9
510,41676,2013,1,4
511,41770,2013,1,7
512,41791,2013,1,6
513,41799,2013,1,4
514,41801,2013,1,3
515,41797,2013,1,4
516,41807,2013,1,6
517,41872,2013,1,3
518,41885,2013,1,2
519,41006,2013,2,0
520,41013,2013,2,1
521,41016,2013,2,1
522,41020,2013,2,0
523,41026,2013,2,0
524,41078,2013,2,2
525,41132,2013,2,1
526,41206,2013,2,2
527,41244,2013,2,0
528,41298,2013,2,1
529,41306,2013,2,0
530,41319,2013,2,0
531,41349,2013,2,0
532,41357,2013,2,0
533,41359,2013,2,0
534,41378,2013,2,1
535,41396,2013,2,0
536,41483,2013,2,0
537,41001,2013,2,0
538,41503,2013,2,0
539,41518,2013,2,0
540,41524,2013,2,1
541,41530,2013,2,0
542,41548,2013,2,2
543,41551,2013,2,0
544,41615,2013,2,0
545,41660,2013,2,0
546,41668,2013,2,0
547,41676,2013,2,0
548,41770,2013,2,0
549,41791,2013,2,0
550,41799,2013,2,0
551,41801,2013,2,0
552,41797,2013,2,0
553,41807,2013,2,0
554,41872,2013,2,1
555,41885,2013,2,0
556,41006,2013,4,11
557,41013,2013,4,3
558,41016,2013,4,5
559,41020,2013,4,7
560,41026,2013,4,1
561,41078,2013,4,3
562,41132,2013,4,13
563,41206,2013,4,1
564,41244,2013,4,2
565,41298,2013,4,23
566,41306,2013,4,10
567,41319,2013,4,8
568,41349,2013,4,3
569,41357,2013,4,3
570,41359,2013,4,9
571,41378,2013,4,3
572,41396,2013,4,21
573,41483,2013,4,2
574,41001,2013,4,0
575,41503,2013,4,4
576,41518,2013,4,3
577,41524,2013,4,8
578,41530,2013,4,2
579,41548,2013,4,4
580,41551,2013,4,0
581,41615,2013,4,7
582,41660,2013,4,5
583,41668,2013,4,11
584,41676,2013,4,3
585,41770,2013,4,5
586,41791,2013,4,7
587,41799,2013,4,4
588,41801,2013,4,2
589,41797,2013,4,4
590,41807,2013,4,6
591,41872,2013,4,1
592,41885,2013,4,3
593,41006,2013,6,284
594,41013,2013,6,86
595,41016,2013,6,159
596,41020,2013,6,201
597,41026,2013,6,35
598,41078,2013,6,81
599,41132,2013,6,256
600,41206,2013,6,88
601,41244,2013,6,38
602,41298,2013,6,577
603,41306,2013,6,278
604,41319,2013,6,173
605,41349,2013,6,58
606,41357,2013,6,110
607,41359,2013,6,218
608,41378,2013,6,141
609,41396,2013,6,571
610,41483,2013,6,70
611,41001,2013,6,0
612,41503,2013,6,102
613,41518,2013,6,61
614,41524,2013,6,235
615,41530,2013,6,107
616,41548,2013,6,131
617,41551,2013,6,0
618,41615,2013,6,176
619,41660,2013,6,103
620,41668,2013,6,292
621,41676,2013,6,108
622,41770,2013,6,168
623,41791,2013,6,180
624,41799,2013,6,131
625,41801,2013,6,76
626,41797,2013,6,99
627,41807,2013,6,188
628,41872,2013,6,72
629,41885,2013,6,64
630,41006,2013,7,0
631,41013,2013,7,0
632,41016,2013,7,0
633,41020,2013,7,0
634,41026,2013,7,0
635,41078,2013,7,0
636,41132,2013,7,0
637,41206,2013,7,0
638,41244,2013,7,0
639,41298,2013,7,0
640,41306,2013,7,0
641,41319,2013,7,0
642,41349,2013,7,0
643,41357,2013,7,0
644,41359,2013,7,0
645,41378,2013,7,0
646,41396,2013,7,3
647,41483,2013,7,0
648,41001,2013,7,0
649,41503,2013,7,0
650,41518,2013,7,0
651,41524,2013,7,1
652,41530,2013,7,0
653,41548,2013,7,0
654,41551,2013,7,0
655,41615,2013,7,0
656,41660,2013,7,0
657,41668,2013,7,0
658,41676,2013,7,0
659,41770,2013,7,0
660,41791,2013,7,1
661,41799,2013,7,0
662,41801,2013,7,0
663,41797,2013,7,1
664,41807,2013,7,0
665,41872,2013,7,0
666,41885,2013,7,0
667,41006,2013,5,3
668,41013,2013,5,1
669,41016,2013,5,1
670,41020,2013,5,3
671,41026,2013,5,1
672,41078,2013,5,1
673,41132,2013,5,3
674,41206,2013,5,0
675,41244,2013,5,1
676,41298,2013,5,8
677,41306,2013,5,5
678,41319,2013,5,3
679,41349,2013,5,1
680,41357,2013,5,1
681,41359,2013,5,2
682,41378,2013,5,2
683,41396,2013,5,7
684,41483,2013,5,1
685,41001,2013,5,0
686,41503,2013,5,1
687,41518,2013,5,1
688,41524,2013,5,3
689,41530,2013,5,1
690,41548,2013,5,1
691,41551,2013,5,0
692,41615,2013,5,2
693,41660,2013,5,2
694,41668,2013,5,2
695,41676,2013,5,1
696,41770,2013,5,1
697,41791,2013,5,2
698,41799,2013,5,2
699,41801,2013,5,1
700,41797,2013,5,1
701,41807,2013,5,1
702,41872,2013,5,0
703,41885,2013,5,1
704,41006,2012,1,8
705,41013,2012,1,3
706,41016,2012,1,3
707,41020,2012,1,6
708,41026,2012,1,0
709,41078,2012,1,3
710,41132,2012,1,5
711,41206,2012,1,5
712,41244,2012,1,1
713,41298,2012,1,14
714,41306,2012,1,8
715,41319,2012,1,3
716,41349,2012,1,1
717,41357,2012,1,5
718,41359,2012,1,7
719,41378,2012,1,5
720,41396,2012,1,18
721,41483,2012,1,4
722,41001,2012,1,
723,41503,2012,1,3
724,41518,2012,1,1
725,41524,2012,1,7
726,41530,2012,1,5
727,41548,2012,1,4
728,41551,2012,1,
729,41615,2012,1,4
730,41660,2012,1,2
731,41668,2012,1,9
732,41676,2012,1,4
733,41770,2012,1,7
734,41791,2012,1,6
735,41799,2012,1,4
736,41801,2012,1,4
737,41797,2012,1,4
738,41807,2012,1,6
739,41872,2012,1,3
740,41885,2012,1,2
741,41006,2012,2,0
742,41013,2012,2,1
743,41016,2012,2,1
744,41020,2012,2,0
745,41026,2012,2,0
746,41078,2012,2,2
747,41132,2012,2,1
748,41206,2012,2,2
749,41244,2012,2,0
750,41298,2012,2,1
751,41306,2012,2,0
752,41319,2012,2,0
753,41349,2012,2,0
754,41357,2012,2,0
755,41359,2012,2,0
756,41378,2012,2,1
757,41396,2012,2,0
758,41483,2012,2,0
759,41001,2012,2,
760,41503,2012,2,0
761,41518,2012,2,0
762,41524,2012,2,1
763,41530,2012,2,0
764,41548,2012,2,2
765,41551,2012,2,
766,41615,2012,2,0
767,41660,2012,2,0
768,41668,2012,2,0
769,41676,2012,2,0
770,41770,2012,2,0
771,41791,2012,2,0
772,41799,2012,2,0
773,41801,2012,2,1
774,41797,2012,2,0
775,41807,2012,2,0
776,41872,2012,2,1
777,41885,2012,2,0
778,41006,2012,4,10
779,41013,2012,4,3
780,41016,2012,4,5
781,41020,2012,4,8
782,41026,2012,4,0
783,41078,2012,4,2
784,41132,2012,4,12
785,41206,2012,4,1
786,41244,2012,4,2
787,41298,2012,4,23
788,41306,2012,4,11
789,41319,2012,4,8
790,41349,2012,4,3
791,41357,2012,4,3
792,41359,2012,4,8
793,41378,2012,4,3
794,41396,2012,4,21
795,41483,2012,4,2
796,41001,2012,4,
797,41503,2012,4,4
798,41518,2012,4,3
799,41524,2012,4,8
800,41530,2012,4,2
801,41548,2012,4,4
802,41551,2012,4,
803,41615,2012,4,8
804,41660,2012,4,5
805,41668,2012,4,11
806,41676,2012,4,3
807,41770,2012,4,5
808,41791,2012,4,7
809,41799,2012,4,5
810,41801,2012,4,2
811,41797,2012,4,4
812,41807,2012,4,6
813,41872,2012,4,2
814,41885,2012,4,3
815,41006,2012,6,282
816,41013,2012,6,87
817,41016,2012,6,160
818,41020,2012,6,202
819,41026,2012,6,36
820,41078,2012,6,82
821,41132,2012,6,259
822,41206,2012,6,89
823,41244,2012,6,38
824,41298,2012,6,577
825,41306,2012,6,275
826,41319,2012,6,173
827,41349,2012,6,57
828,41357,2012,6,110
829,41359,2012,6,221
830,41378,2012,6,141
831,41396,2012,6,565
832,41483,2012,6,70
833,41001,2012,6,
834,41503,2012,6,102
835,41518,2012,6,61
836,41524,2012,6,237
837,41530,2012,6,105
838,41548,2012,6,132
839,41551,2012,6,
840,41615,2012,6,176
841,41660,2012,6,102
842,41668,2012,6,289
843,41676,2012,6,108
844,41770,2012,6,166
845,41791,2012,6,180
846,41799,2012,6,131
847,41801,2012,6,76
848,41797,2012,6,99
849,41807,2012,6,188
850,41872,2012,6,74
851,41885,2012,6,64
852,41006,2012,7,0
853,41013,2012,7,0
854,41016,2012,7,0
855,41020,2012,7,0
856,41026,2012,7,0
857,41078,2012,7,0
858,41132,2012,7,0
859,41206,2012,7,0
860,41244,2012,7,0
861,41298,2012,7,0
862,41306,2012,7,0
863,41319,2012,7,0
864,41349,2012,7,0
865,41357,2012,7,0
866,41359,2012,7,0
867,41378,2012,7,0
868,41396,2012,7,3
869,41483,2012,7,0
870,41001,2012,7,
871,41503,2012,7,0
872,41518,2012,7,0
873,41524,2012,7,1
874,41530,2012,7,0
875,41548,2012,7,0
876,41551,2012,7,
877,41615,2012,7,0
878,41660,2012,7,0
879,41668,2012,7,0
880,41676,2012,7,0
881,41770,2012,7,0
882,41791,2012,7,1
883,41799,2012,7,0
884,41801,2012,7,0
885,41797,2012,7,1
886,41807,2012,7,0
887,41872,2012,7,0
888,41885,2012,7,0
889,41006,2012,5,303
890,41013,2012,5,95
891,41016,2012,5,170
892,41020,2012,5,219
893,41026,2012,5,37
894,41078,2012,5,90
895,41132,2012,5,280
896,41206,2012,5,97
897,41244,2012,5,42
898,41298,2012,5,623
899,41306,2012,5,299
900,41319,2012,5,187
901,41349,2012,5,62
902,41357,2012,5,119
903,41359,2012,5,238
904,41378,2012,5,152
905,41396,2012,5,614
906,41483,2012,5,77
907,41001,2012,5,
908,41503,2012,5,110
909,41518,2012,5,66
910,41524,2012,5,257
911,41530,2012,5,113
912,41548,2012,5,143
913,41551,2012,5,
914,41615,2012,5,190
915,41660,2012,5,111
916,41668,2012,5,311
917,41676,2012,5,116
918,41770,2012,5,179
919,41791,2012,5,196
920,41799,2012,5,142
921,41801,2012,5,84
922,41797,2012,5,109
923,41807,2012,5,201
924,41872,2012,5,80
925,41885,2012,5,70
926,41006,2011,1,8
927,41013,2011,1,3
928,41016,2011,1,2
929,41020,2011,1,6
930,41026,2011,1,0
931,41078,2011,1,3
932,41132,2011,1,5
933,41206,2011,1,5
934,41244,2011,1,1
935,41298,2011,1,14
936,41306,2011,1,8
937,41319,2011,1,3
938,41349,2011,1,1
939,41357,2011,1,5
940,41359,2011,1,7
941,41378,2011,1,5
942,41396,2011,1,19
943,41483,2011,1,4
944,41001,2011,1,35
945,41503,2011,1,3
946,41518,2011,1,1
947,41524,2011,1,7
948,41530,2011,1,5
949,41548,2011,1,4
950,41551,2011,1,
951,41615,2011,1,4
952,41660,2011,1,2
953,41668,2011,1,9
954,41676,2011,1,4
955,41770,2011,1,7
956,41791,2011,1,6
957,41799,2011,1,4
958,41801,2011,1,4
959,41797,2011,1,4
960,41807,2011,1,6
961,41872,2011,1,3
962,41885,2011,1,2
963,41006,2011,8,1
964,41013,2011,8,1
965,41016,2011,8,1
966,41020,2011,8,0
967,41026,2011,8,0
968,41078,2011,8,1
969,41132,2011,8,1
970,41206,2011,8,0
971,41244,2011,8,0
972,41298,2011,8,1
973,41306,2011,8,1
974,41319,2011,8,0
975,41349,2011,8,0
976,41357,2011,8,1
977,41359,2011,8,1
978,41378,2011,8,1
979,41396,2011,8,1
980,41483,2011,8,1
981,41001,2011,8,1
982,41503,2011,8,1
983,41518,2011,8,0
984,41524,2011,8,1
985,41530,2011,8,0
986,41548,2011,8,0
987,41551,2011,8,
988,41615,2011,8,1
989,41660,2011,8,0
990,41668,2011,8,1
991,41676,2011,8,1
992,41770,2011,8,1
993,41791,2011,8,1
994,41799,2011,8,1
995,41801,2011,8,0
996,41797,2011,8,0
997,41807,2011,8,1
998,41872,2011,8,0
999,41885,2011,8,0
1000,41006,2011,2,0
1001,41013,2011,2,2
1002,41016,2011,2,3
1003,41020,2011,2,0
1004,41026,2011,2,0
1005,41078,2011,2,2
1006,41132,2011,2,1
1007,41206,2011,2,2
1008,41244,2011,2,0
1009,41298,2011,2,1
1010,41306,2011,2,0
1011,41319,2011,2,0
1012,41349,2011,2,0
1013,41357,2011,2,0
1014,41359,2011,2,0
1015,41378,2011,2,1
1016,41396,2011,2,0
1017,41483,2011,2,0
1018,41001,2011,2,0
1019,41503,2011,2,0
1020,41518,2011,2,0
1021,41524,2011,2,1
1022,41530,2011,2,0
1023,41548,2011,2,2
1024,41551,2011,2,
1025,41615,2011,2,0
1026,41660,2011,2,0
1027,41668,2011,2,0
1028,41676,2011,2,0
1029,41770,2011,2,0
1030,41791,2011,2,0
1031,41799,2011,2,0
1032,41801,2011,2,1
1033,41797,2011,2,0
1034,41807,2011,2,0
1035,41872,2011,2,1
1036,41885,2011,2,0
1037,41006,2011,9,0
1038,41013,2011,9,0
1039,41016,2011,9,0
1040,41020,2011,9,0
1041,41026,2011,9,0
1042,41078,2011,9,0
1043,41132,2011,9,0
1044,41206,2011,9,0
1045,41244,2011,9,0
1046,41298,2011,9,0
1047,41306,2011,9,0
1048,41319,2011,9,0
1049,41349,2011,9,0
1050,41357,2011,9,0
1051,41359,2011,9,0
1052,41378,2011,9,0
1053,41396,2011,9,1
1054,41483,2011,9,0
1055,41001,2011,9,0
1056,41503,2011,9,0
1057,41518,2011,9,0
1058,41524,2011,9,0
1059,41530,2011,9,0
1060,41548,2011,9,0
1061,41551,2011,9,
1062,41615,2011,9,0
1063,41660,2011,9,0
1064,41668,2011,9,0
1065,41676,2011,9,0
1066,41770,2011,9,0
1067,41791,2011,9,0
1068,41799,2011,9,0
1069,41801,2011,9,0
1070,41797,2011,9,0
1071,41807,2011,9,1
1072,41872,2011,9,0
1073,41885,2011,9,0
1074,41006,2011,4,10
1075,41013,2011,4,3
1076,41016,2011,4,5
1077,41020,2011,4,8
1078,41026,2011,4,0
1079,41078,2011,4,2
1080,41132,2011,4,13
1081,41206,2011,4,1
1082,41244,2011,4,2
1083,41298,2011,4,23
1084,41306,2011,4,11
1085,41319,2011,4,8
1086,41349,2011,4,3
1087,41357,2011,4,3
1088,41359,2011,4,8
1089,41378,2011,4,3
1090,41396,2011,4,21
1091,41483,2011,4,2
1092,41001,2011,4,97
1093,41503,2011,4,4
1094,41518,2011,4,3
1095,41524,2011,4,8
1096,41530,2011,4,2
1097,41548,2011,4,4
1098,41551,2011,4,
1099,41615,2011,4,7
1100,41660,2011,4,5
1101,41668,2011,4,11
1102,41676,2011,4,3
1103,41770,2011,4,5
1104,41791,2011,4,7
1105,41799,2011,4,5
1106,41801,2011,4,2
1107,41797,2011,4,4
1108,41807,2011,4,6
1109,41872,2011,4,2
1110,41885,2011,4,3
1111,41006,2011,10,273
1112,41013,2011,10,88
1113,41016,2011,10,161
1114,41020,2011,10,203
1115,41026,2011,10,38
1116,41078,2011,10,83
1117,41132,2011,10,262
1118,41206,2011,10,91
1119,41244,2011,10,38
1120,41298,2011,10,583
1121,41306,2011,10,274
1122,41319,2011,10,173
1123,41349,2011,10,56
1124,41357,2011,10,112
1125,41359,2011,10,220
1126,41378,2011,10,141
1127,41396,2011,10,566
1128,41483,2011,10,69
1129,41001,2011,10,2111
1130,41503,2011,10,100
1131,41518,2011,10,59
1132,41524,2011,10,240
1133,41530,2011,10,103
1134,41548,2011,10,131
1135,41551,2011,10,
1136,41615,2011,10,176
1137,41660,2011,10,101
1138,41668,2011,10,289
1139,41676,2011,10,105
1140,41770,2011,10,163
1141,41791,2011,10,179
1142,41799,2011,10,133
1143,41801,2011,10,76
1144,41797,2011,10,98
1145,41807,2011,10,189
1146,41872,2011,10,74
1147,41885,2011,10,65
1148,41006,2011,5,3
