nine_codigo,nine_codMunicipio,nine_anio,nine_tipo_institucion,nine_tipo_plantel,nine_area,nine_num_instituciones
1,41006,2016,1,1,1,1
2,41013,2016,1,1,1,1
3,41016,2016,1,1,1,1
4,41020,2016,1,1,1,1
5,41026,2016,1,1,1,1
6,41078,2016,1,1,1,1
7,41132,2016,1,1,1,3
8,41206,2016,1,1,1,1
9,41244,2016,1,1,1,1
10,41298,2016,1,1,1,4
11,41306,2016,1,1,1,3
12,41319,2016,1,1,1,1
13,41349,2016,1,1,1,1
14,41357,2016,1,1,1,1
15,41359,2016,1,1,1,1
16,41378,2016,1,1,1,1
17,41396,2016,1,1,1,5
18,41483,2016,1,1,1,1
19,41001,2016,1,1,1,29
20,41503,2016,1,1,1,1
21,41518,2016,1,1,1,1
22,41524,2016,1,1,1,2
23,41530,2016,1,1,1,1
24,41548,2016,1,1,1,1
25,41551,2016,1,1,1,6
26,41615,2016,1,1,1,1
27,41660,2016,1,1,1,1
28,41668,2016,1,1,1,2
29,41676,2016,1,1,1,1
30,41770,2016,1,1,1,1
31,41791,2016,1,1,1,1
32,41799,2016,1,1,1,1
33,41801,2016,1,1,1,1
34,41797,2016,1,1,1,2
35,41807,2016,1,1,1,1
36,41872,2016,1,1,1,1
37,41885,2016,1,1,1,1
38,41006,2016,1,1,2,8
39,41013,2016,1,1,2,2
40,41016,2016,1,1,2,2
41,41020,2016,1,1,2,5
42,41026,2016,1,1,2,0
43,41078,2016,1,1,2,2
44,41132,2016,1,1,2,2
45,41206,2016,1,1,2,4
46,41244,2016,1,1,2,0
47,41298,2016,1,1,2,9
48,41306,2016,1,1,2,6
49,41319,2016,1,1,2,2
50,41349,2016,1,1,2,0
51,41357,2016,1,1,2,4
52,41359,2016,1,1,2,6
53,41378,2016,1,1,2,4
54,41396,2016,1,1,2,13
55,41483,2016,1,1,2,3
56,41001,2016,1,1,2,10
57,41503,2016,1,1,2,2
58,41518,2016,1,1,2,0
59,41524,2016,1,1,2,5
60,41530,2016,1,1,2,4
61,41548,2016,1,1,2,3
62,41551,2016,1,1,2,10
63,41615,2016,1,1,2,3
64,41660,2016,1,1,2,1
65,41668,2016,1,1,2,7
66,41676,2016,1,1,2,3
67,41770,2016,1,1,2,6
68,41791,2016,1,1,2,5
69,41799,2016,1,1,2,3
70,41801,2016,1,1,2,2
71,41797,2016,1,1,2,2
72,41807,2016,1,1,2,5
73,41872,2016,1,1,2,3
74,41885,2016,1,1,2,0
75,41006,2016,1,2,1,0
76,41013,2016,1,2,1,0
77,41016,2016,1,2,1,0
78,41020,2016,1,2,1,0
79,41026,2016,1,2,1,0
80,41078,2016,1,2,1,0
81,41132,2016,1,2,1,0
82,41206,2016,1,2,1,0
83,41244,2016,1,2,1,0
84,41298,2016,1,2,1,0
85,41306,2016,1,2,1,0
86,41319,2016,1,2,1,0
87,41349,2016,1,2,1,0
88,41357,2016,1,2,1,0
89,41359,2016,1,2,1,0
90,41378,2016,1,2,1,0
91,41396,2016,1,2,1,0
92,41483,2016,1,2,1,0
93,41001,2016,1,2,1,0
94,41503,2016,1,2,1,0
95,41518,2016,1,2,1,0
96,41524,2016,1,2,1,0
97,41530,2016,1,2,1,0
98,41548,2016,1,2,1,0
99,41551,2016,1,2,1,0
100,41615,2016,1,2,1,0
101,41660,2016,1,2,1,0
102,41668,2016,1,2,1,0
103,41676,2016,1,2,1,0
104,41770,2016,1,2,1,0
105,41791,2016,1,2,1,0
106,41799,2016,1,2,1,0
107,41801,2016,1,2,1,0
108,41797,2016,1,2,1,0
109,41807,2016,1,2,1,0
110,41872,2016,1,2,1,0
111,41885,2016,1,2,1,0
112,41006,2016,1,2,2,0
113,41013,2016,1,2,2,1
114,41016,2016,1,2,2,1
115,41020,2016,1,2,2,0
116,41026,2016,1,2,2,0
117,41078,2016,1,2,2,1
118,41132,2016,1,2,2,1
119,41206,2016,1,2,2,1
120,41244,2016,1,2,2,0
121,41298,2016,1,2,2,1
122,41306,2016,1,2,2,0
123,41319,2016,1,2,2,0
124,41349,2016,1,2,2,0
125,41357,2016,1,2,2,0
126,41359,2016,1,2,2,0
127,41378,2016,1,2,2,1
128,41396,2016,1,2,2,1
129,41483,2016,1,2,2,0
130,41001,2016,1,2,2,1
131,41503,2016,1,2,2,0
132,41518,2016,1,2,2,0
133,41524,2016,1,2,2,0
134,41530,2016,1,2,2,0
135,41548,2016,1,2,2,1
136,41551,2016,1,2,2,0
137,41615,2016,1,2,2,0
138,41660,2016,1,2,2,0
139,41668,2016,1,2,2,0
140,41676,2016,1,2,2,0
141,41770,2016,1,2,2,0
142,41791,2016,1,2,2,0
143,41799,2016,1,2,2,0
144,41801,2016,1,2,2,0
145,41797,2016,1,2,2,0
146,41807,2016,1,2,2,0
147,41872,2016,1,2,2,1
148,41885,2016,1,2,2,0
149,41006,2016,1,3,1,5
150,41013,2016,1,3,1,3
151,41016,2016,1,3,1,6
152,41020,2016,1,3,1,4
153,41026,2016,1,3,1,3
154,41078,2016,1,3,1,4
155,41132,2016,1,3,1,15
156,41206,2016,1,3,1,2
157,41244,2016,1,3,1,2
158,41298,2016,1,3,1,15
159,41306,2016,1,3,1,5
160,41319,2016,1,3,1,4
161,41349,2016,1,3,1,3
162,41357,2016,1,3,1,3
163,41359,2016,1,3,1,3
164,41378,2016,1,3,1,2
165,41396,2016,1,3,1,13
166,41483,2016,1,3,1,3
167,41001,2016,1,3,1,60
168,41503,2016,1,3,1,2
169,41518,2016,1,3,1,1
170,41524,2016,1,3,1,6
171,41530,2016,1,3,1,4
172,41548,2016,1,3,1,3
173,41551,2016,1,3,1,18
174,41615,2016,1,3,1,5
175,41660,2016,1,3,1,3
176,41668,2016,1,3,1,7
177,41676,2016,1,3,1,4
178,41770,2016,1,3,1,3
179,41791,2016,1,3,1,4
180,41799,2016,1,3,1,3
181,41801,2016,1,3,1,3
182,41797,2016,1,3,1,5
183,41807,2016,1,3,1,5
184,41872,2016,1,3,1,2
185,41885,2016,1,3,1,5
186,41006,2016,1,3,2,80
187,41013,2016,1,3,2,18
188,41016,2016,1,3,2,25
189,41020,2016,1,3,2,55
190,41026,2016,1,3,2,6
191,41078,2016,1,3,2,27
192,41132,2016,1,3,2,31
193,41206,2016,1,3,2,49
194,41244,2016,1,3,2,11
195,41298,2016,1,3,2,86
196,41306,2016,1,3,2,41
197,41319,2016,1,3,2,46
198,41349,2016,1,3,2,5
199,41357,2016,1,3,2,25
200,41359,2016,1,3,2,57
201,41378,2016,1,3,2,32
202,41396,2016,1,3,2,115
203,41483,2016,1,3,2,20
204,41001,2016,1,3,2,65
205,41503,2016,1,3,2,25
206,41518,2016,1,3,2,19
207,41524,2016,1,3,2,46
208,41530,2016,1,3,2,36
209,41548,2016,1,3,2,34
210,41551,2016,1,3,2,124
211,41615,2016,1,3,2,22
212,41660,2016,1,3,2,37
213,41668,2016,1,3,2,82
214,41676,2016,1,3,2,35
215,41770,2016,1,3,2,52
216,41791,2016,1,3,2,47
217,41799,2016,1,3,2,44
218,41801,2016,1,3,2,20
219,41797,2016,1,3,2,15
220,41807,2016,1,3,2,32
221,41872,2016,1,3,2,12
222,41885,2016,1,3,2,5
223,41006,2016,2,4,1,2
224,41013,2016,2,4,1,0
225,41016,2016,2,4,1,0
226,41020,2016,2,4,1,1
227,41026,2016,2,4,1,0
228,41078,2016,2,4,1,0
229,41132,2016,2,4,1,4
230,41206,2016,2,4,1,0
231,41244,2016,2,4,1,0
232,41298,2016,2,4,1,10
233,41306,2016,2,4,1,1
234,41319,2016,2,4,1,0
235,41349,2016,2,4,1,0
236,41357,2016,2,4,1,0
237,41359,2016,2,4,1,2
238,41378,2016,2,4,1,1
239,41396,2016,2,4,1,4
240,41483,2016,2,4,1,0
241,41001,2016,2,4,1,120
242,41503,2016,2,4,1,1
243,41518,2016,2,4,1,0
244,41524,2016,2,4,1,4
245,41530,2016,2,4,1,0
246,41548,2016,2,4,1,1
247,41551,2016,2,4,1,28
248,41615,2016,2,4,1,3
249,41660,2016,2,4,1,0
250,41668,2016,2,4,1,1
251,41676,2016,2,4,1,0
252,41770,2016,2,4,1,2
253,41791,2016,2,4,1,1
254,41799,2016,2,4,1,0
255,41801,2016,2,4,1,0
256,41797,2016,2,4,1,1
257,41807,2016,2,4,1,3
