pro_codigo,pro_nombre
166,Salud Ocupacional - Pitalito
167,Salud Ocupacional - La Plata
168,Tecnología en Obras Civiles - Pitalito
169,Administración de Empresas Agropecuarias - Garzón
170,Tecnología Forestal - Neiva
171,Tecnologia en Sistemas de Informacion - Neiva
172,Tecnologia en Sistemas de Informacion - Garzón
173,Tecnologia en Sistemas de Informacion - Pitalito
174,Licenciatrua en Lenguas Modernas - Neiva
175,Licenciatura en Educación Física - Neiva
176,Comercio Internacional
177,Especialización En Dirección Financiera y Desarrollo Organizacional
178,Psicología Social Comunitaria
179,Administración Pública Territorial
180,Gerencia Hospitalaria
181,Licenciatura en Educación para la Democracia
182,Especialización en Gerencia de las Organizaciones de la Salud
183,Especialización en Auditoría Financiera
184,Especialización en Formulación y Evaluación de Proyectos de Desarrollo Social
185,Administración del Desarrollo Agroindustrial
186,Licenciatura Administración Educativa
187,Licenciatura En Biología y Química
188,Licenciatura Arte Escénico
189,Especialización Gestion tributaria y aduanera
190,Especialización Gerencia de Mercados
191,Especialización Revisoria fiscal y control de Gestión
192,Comunicación Social Comunitaria
193,Tecnologia En recursos Naturales
194,Tecnologia en Producción Agropecuaria
195,Tecnologia En Administración de Empresas
196,Administración Ambiental
197,Administración Agropecuaria
198,Administración de Sistemas
199,Construcción
200,Filosofía e Historia
201,Filosofía Ciencias Religión
202,Licenciatura en Educación Básica
203,Licenciatura en Educación Ambiental
204,Licenciatura en Biología
205,Educación Religiosa
206,Licenciatura en Filosofía Cultura de paz
207,Administración Pública Municipal y Regional
208,Administración Pública Contemporanea
209,Proyectos de Desarrollo
210,Especialización gerencia servicios en salud
211,Patología de la Construcción
212,Docencia Universitaria
213,Especialización Ciencias Administrativas Constitucionales
214,Especialización en Derecho Comercial y Financiero
215,Tecnología En Construcción
216,Especialización en Gerencia
217,Especialización Gestión Humana
218,Departamento de PsicoPedagogía.
219,Ciencias de la Información y la Documentación
220,Administración Agroindustrial
221,Tecnología en Sistemas de Datos
222,Finanzas posgrado
223,Ciencias Fiscales posgrado
224,Computación para la Docencia posgrado
225,Administración De Empresas Posgrado
226,Auditoría de Sistemas posgrado
227,Especialización Auditoría Integral
228,Especialización Control Interno y Auditoría en las Organizaciones de Salud
229,Psicología Distancia
230,Tecnología en Sistemas Distancia
231,Educación Básica Primaria Distancia
232,Ingeniería de Sistemas Distancia
233,Idiomas y negocios internacionales
234,Tecnología Mantenimiento Electrónico
235,Tecnología en Diseño Gráfico
236,Tecnología en Diseño de Textil y Moda
237,Tecnología en Comunicación y Relaciones públicas
238,Contabilidad y Finanzas Distancia
239,Administración de Negocios Internacionales
240,Tecnología Agroindustrial
241,Especialización Gerencia Informática
242,Especialización Revisoría Fiscal y Contraloría
243,Tecnología en Informática
244,Licenciatura en Lingüística y Literatura 
245,Tecnología en Gestión Financiera
246,Especialización en administración Financiera - Convenio EAN
247,Especialización En Negocios y Finanzas Internacionales -Convenio EAN
248,Especialización en Gerencia  y Auditoría de la Calidad de la Salud -Convenio universidad Jorge Tadeo Lozano
249,Maestría en Administracion - Convenio  Universidad del Valle
