arco_codigo,arco_codMunicipio,arco_codCultivo,arco_anio,arco_semestre,arco_HasTotalPlantada,arco_HasNuevas,arco_HasRenovadas,arco_HasCosechadas,arco_toneladasProduccion,arco_rendimiento,arco_precioProductor,arco_precioPromedioProduccion,arco_costoPromedioEstablecimiento,arco_costoPromedioSostenimiento
,41078,2,2015,,4.00,,,3.00,24.00,,,,,
,41132,2,2015,,10.00,,,8.00,64.00,,,,,
,41206,2,2015,,0.00,,,0.00,0.00,,,,,
,41244,2,2015,,2.00,,,2.00,10.00,,,,,
,41298,2,2015,,132.00,,,85.00,510.00,,,,,
,41306,2,2015,,32.00,,,32.00,176.00,,,,,
,41319,2,2015,,83.00,,,78.00,546.00,,,,,
,41349,2,2015,,4.00,,,3.00,21.00,,,,,
,41357,2,2015,,13.00,,,8.00,64.00,,,,,
,41359,2,2015,,8.00,,,8.00,48.00,,,,,
,41378,2,2015,,6.00,,,5.00,30.00,,,,,
,41396,2,2015,,36.00,,,31.00,124.00,,,,,
,41483,2,2015,,6.00,,,6.00,36.00,,,,,
,41001,2,2015,,40.00,,,34.00,204.00,,,,,
,41503,2,2015,,10.00,,,10.00,50.00,,,,,
,41518,2,2015,,0.00,,,0.00,0.00,,,,,
,41524,2,2015,,6.00,,,5.00,35.00,,,,,
,41530,2,2015,,3.00,,,3.00,18.00,,,,,
,41548,2,2015,,9.00,,,9.00,81.00,,,,,
,41551,2,2015,,30.00,,,30.00,195.00,,,,,
,41615,2,2015,,4.00,,,3.00,18.00,,,,,
,41660,2,2015,,5.00,,,5.00,35.00,,,,,
,41668,2,2015,,30.00,,,30.00,180.00,,,,,
,41676,2,2015,,10.00,,,8.00,56.00,,,,,
,41770,2,2015,,16.00,,,15.00,105.00,,,,,
,41791,2,2015,,0.00,,,0.00,0.00,,,,,
,41799,2,2015,,26.00,,,20.00,120.00,,,,,
,41801,2,2015,,5.00,,,3.00,18.00,,,,,
,41797,2,2015,,0.00,,,0.00,0.00,,,,,
,41807,2,2015,,4.00,,,3.00,18.00,,,,,
,41872,2,2015,,0.00,,,0.00,0.00,,,,,
,41885,2,2015,,0.00,,,0.00,0.00,,,,,
,41006,3,2015,,15.00,,,15.00,150.00,,,,,
,41013,3,2015,,5.00,,,5.00,55.00,,,,,
,41016,3,2015,,0.00,,,0.00,0.00,,,,,
,41020,3,2015,,30.00,,,28.00,224.00,,,,,
,41026,3,2015,,0.00,,,0.00,0.00,,,,,
,41078,3,2015,,3.00,,,3.00,30.00,,,,,
,41132,3,2015,,5.00,,,4.00,32.00,,,,,
,41206,3,2015,,0.00,,,0.00,0.00,,,,,
,41244,3,2015,,2.00,,,2.00,18.00,,,,,
,41298,3,2015,,135.00,,,130.00,780.00,,,,,
,41306,3,2015,,25.00,,,25.00,250.00,,,,,
,41319,3,2015,,16.00,,,15.00,120.00,,,,,
,41349,3,2015,,0.00,,,0.00,0.00,,,,,
,41357,3,2015,,17.00,,,14.00,98.00,,,,,
,41359,3,2015,,5.00,,,5.00,45.00,,,,,
,41378,3,2015,,6.00,,,5.00,35.00,,,,,
,41396,3,2015,,15.00,,,10.00,40.00,,,,,
,41483,3,2015,,4.00,,,4.00,16.00,,,,,
,41001,3,2015,,0.00,,,0.00,0.00,,,,,
,41503,3,2015,,2.00,,,2.00,10.00,,,,,
,41518,3,2015,,0.00,,,0.00,0.00,,,,,
,41524,3,2015,,0.00,,,0.00,0.00,,,,,
,41530,3,2015,,3.00,,,3.00,15.00,,,,,
,41548,3,2015,,10.00,,,9.00,90.00,,,,,
,41551,3,2015,,10.00,,,10.00,70.00,,,,,
,41615,3,2015,,0.00,,,0.00,0.00,,,,,
,41660,3,2015,,1.00,,,1.00,9.00,,,,,
,41668,3,2015,,15.00,,,11.00,99.00,,,,,
,41676,3,2015,,0.00,,,0.00,0.00,,,,,
,41770,3,2015,,12.00,,,12.00,72.00,,,,,
,41791,3,2015,,0.00,,,0.00,0.00,,,,,
,41799,3,2015,,7.00,,,6.00,42.00,,,,,
,41801,3,2015,,1.00,,,1.00,5.5,,,,,
,41797,3,2015,,0.00,,,0.00,0.00,,,,,
,41807,3,2015,,4.00,,,4.00,28.00,,,,,
,41872,3,2015,,0.00,,,0.00,0.00,,,,,
,41885,3,2015,,0.00,,,0.00,0.00,,,,,
,41006,4,2015,,100.00,,,100.00,700.00,,,,,
,41013,4,2015,,12.00,,,12.00,72.00,,,,,
,41016,4,2015,,50.00,,,49.00,294.00,,,,,
,41020,4,2015,,143.00,,,118.00,731.6,,,,,
,41026,4,2015,,5.00,,,4.00,24.00,,,,,
,41078,4,2015,,41.00,,,33.00,198.00,,,,,
,41132,4,2015,,130.00,,,125.00,625.00,,,,,
,41206,4,2015,,150.00,,,140.00,840.00,,,,,
,41244,4,2015,,30.00,,,25.00,150.00,,,,,
