41006,Acevedo,ANUALES,ACHIRA,2015,0,0,0
41013,Agrado,ANUALES,ACHIRA,2015,0,0,0
41016,Aipe,ANUALES,ACHIRA,2015,0,0,0
41020,Algeciras,ANUALES,ACHIRA,2015,8,7,"17,5"
41026,Altamira,ANUALES,ACHIRA,2015,0,0,0
41078,Baraya,ANUALES,ACHIRA,2015,0,0,0
41132,Campoalegre,ANUALES,ACHIRA,2015,0,0,0
41206,Colombia,ANUALES,ACHIRA,2015,0,0,0
41244,Elias,ANUALES,ACHIRA,2015,17,17,34
41298,Garzón,ANUALES,ACHIRA,2015,15,13,26
41306,Gigante,ANUALES,ACHIRA,2015,7,7,"12,6"
41319,Guadalupe,ANUALES,ACHIRA,2015,0,0,0
41349,Hobo,ANUALES,ACHIRA,2015,0,0,0
41357,Iquira,ANUALES,ACHIRA,2015,1,1,"2,5"
41359,Isnos,ANUALES,ACHIRA,2015,10,10,20
41378,La Argentina,ANUALES,ACHIRA,2015,0,0,0
41396,La Plata,ANUALES,ACHIRA,2015,10,10,20
41483,Nátaga,ANUALES,ACHIRA,2015,0,0,0
41001,Neiva,ANUALES,ACHIRA,2015,0,0,0
41503,Oporapa,ANUALES,ACHIRA,2015,0,0,0
41518,Paicol,ANUALES,ACHIRA,2015,0,0,0
41524,Palerno,ANUALES,ACHIRA,2015,0,0,0
41530,Palestina,ANUALES,ACHIRA,2015,0,0,0
41548,Pital,ANUALES,ACHIRA,2015,0,0,0
41551,Pitalito,ANUALES,ACHIRA,2015,0,0,0
41615,Rivera,ANUALES,ACHIRA,2015,0,0,0
41660,Saladoblanco,ANUALES,ACHIRA,2015,0,0,0
41668,San Agustin,ANUALES,ACHIRA,2015,25,25,50
41676,Santa Maria,ANUALES,ACHIRA,2015,0,0,0
41770,Suaza,ANUALES,ACHIRA,2015,0,0,0
41791,Tarqui,ANUALES,ACHIRA,2015,0,0,0
41799,Tello ,ANUALES,ACHIRA,2015,0,0,0
41801,Teruel,ANUALES,ACHIRA,2015,0,0,0
41797,Tesalia,ANUALES,ACHIRA,2015,0,0,0
41807,Timaná,ANUALES,ACHIRA,2015,0,0,0
41872,Villavieja,ANUALES,ACHIRA,2015,0,0,0
41885,Yaguará,ANUALES,ACHIRA,2015,0,0,0
41006,Acevedo,ANUALES,ARRACACHA,2015,10,10,80
41013,Agrado,ANUALES,ARRACACHA,2015,0,0,0
41016,Aipe,ANUALES,ARRACACHA,2015,0,0,0
41020,Algeciras,ANUALES,ARRACACHA,2015,47,43,344
41026,Altamira,ANUALES,ARRACACHA,2015,0,0,0
41078,Baraya,ANUALES,ARRACACHA,2015,4,3,24
41132,Campoalegre,ANUALES,ARRACACHA,2015,10,8,64
41206,Colombia,ANUALES,ARRACACHA,2015,0,0,0
41244,Elias,ANUALES,ARRACACHA,2015,2,2,10
41298,Garzón,ANUALES,ARRACACHA,2015,132,85,510
41306,Gigante,ANUALES,ARRACACHA,2015,32,32,176
41319,Guadalupe,ANUALES,ARRACACHA,2015,83,78,546
41349,Hobo,ANUALES,ARRACACHA,2015,4,3,21
41357,Iquira,ANUALES,ARRACACHA,2015,13,8,64
41359,Isnos,ANUALES,ARRACACHA,2015,8,8,48
41378,La Argentina,ANUALES,ARRACACHA,2015,6,5,30
41396,La Plata,ANUALES,ARRACACHA,2015,36,31,124
41483,Nátaga,ANUALES,ARRACACHA,2015,6,6,36
41001,Neiva,ANUALES,ARRACACHA,2015,40,34,204
41503,Oporapa,ANUALES,ARRACACHA,2015,10,10,50
41518,Paicol,ANUALES,ARRACACHA,2015,0,0,0
41524,Palerno,ANUALES,ARRACACHA,2015,6,5,35
41530,Palestina,ANUALES,ARRACACHA,2015,3,3,18
41548,Pital,ANUALES,ARRACACHA,2015,9,9,81
41551,Pitalito,ANUALES,ARRACACHA,2015,30,30,195
41615,Rivera,ANUALES,ARRACACHA,2015,4,3,18
41660,Saladoblanco,ANUALES,ARRACACHA,2015,5,5,35
41668,San Agustin,ANUALES,ARRACACHA,2015,30,30,180
41676,Santa Maria,ANUALES,ARRACACHA,2015,10,8,56
41770,Suaza,ANUALES,ARRACACHA,2015,16,15,105
41791,Tarqui,ANUALES,ARRACACHA,2015,0,0,0
41799,Tello ,ANUALES,ARRACACHA,2015,26,20,120
41801,Teruel,ANUALES,ARRACACHA,2015,5,3,18
41797,Tesalia,ANUALES,ARRACACHA,2015,0,0,0
41807,Timaná,ANUALES,ARRACACHA,2015,4,3,18
41872,Villavieja,ANUALES,ARRACACHA,2015,0,0,0
41885,Yaguará,ANUALES,ARRACACHA,2015,0,0,0
41006,Acevedo,ANUALES,CEBOLLA JUNCA,2015,15,15,150
41013,Agrado,ANUALES,CEBOLLA JUNCA,2015,5,5,55
41016,Aipe,ANUALES,CEBOLLA JUNCA,2015,0,0,0
41020,Algeciras,ANUALES,CEBOLLA JUNCA,2015,30,28,224
41026,Altamira,ANUALES,CEBOLLA JUNCA,2015,0,0,0
41078,Baraya,ANUALES,CEBOLLA JUNCA,2015,3,3,30
41132,Campoalegre,ANUALES,CEBOLLA JUNCA,2015,5,4,32
41206,Colombia,ANUALES,CEBOLLA JUNCA,2015,0,0,0
41244,Elias,ANUALES,CEBOLLA JUNCA,2015,2,2,18
41298,Garzón,ANUALES,CEBOLLA JUNCA,2015,135,130,780
41306,Gigante,ANUALES,CEBOLLA JUNCA,2015,25,25,250
41319,Guadalupe,ANUALES,CEBOLLA JUNCA,2015,16,15,120
41349,Hobo,ANUALES,CEBOLLA JUNCA,2015,0,0,0
