niji_codigo,niji_codMunicipio,niji_anio,niji_tipo_modalidades,niji_tipo_dato_modalidad,niji_numero
196,41551,2013,52,17,0
197,41298,2013,52,5,0
198,41396,2013,52,5,0
199,41001,2013,52,5,1
200,41551,2013,52,5,0
201,41298,2013,53,17,0
202,41396,2013,53,17,1
203,41001,2013,53,17,7
204,41551,2013,53,17,0
205,41298,2013,53,5,0
206,41396,2013,53,5,1
207,41001,2013,53,5,4
208,41551,2013,53,5,0
209,41298,2013,54,17,0
210,41396,2013,54,17,0
211,41001,2013,54,17,0
212,41551,2013,54,17,0
213,41298,2013,54,5,0
214,41396,2013,54,5,0
215,41001,2013,54,5,0
216,41551,2013,54,5,0
217,41298,2011,46,17,29
218,41396,2011,46,17,29
219,41001,2011,46,17,49
220,41551,2011,46,17,17
221,41298,2011,46,5,29
222,41396,2011,46,5,29
223,41001,2011,46,5,0
224,41551,2011,46,5,17
225,41298,2011,47,17,0
226,41396,2011,47,17,0
227,41001,2011,47,17,0
228,41551,2011,47,17,0
229,41298,2011,47,5,0
230,41396,2011,47,5,0
231,41001,2011,47,5,0
232,41551,2011,47,5,0
233,41298,2011,48,17,40
234,41396,2011,48,17,46
235,41001,2011,48,17,94
236,41551,2011,48,17,77
237,41298,2011,48,5,55
238,41396,2011,48,5,54
239,41001,2011,48,5,0
240,41551,2011,48,5,88
241,41298,2011,49,17,0
242,41396,2011,49,17,2
243,41001,2011,49,17,3
244,41551,2011,49,17,0
245,41298,2011,49,5,0
246,41396,2011,49,5,2
247,41001,2011,49,5,0
248,41551,2011,49,5,0
249,41298,2011,50,17,0
250,41396,2011,50,17,0
251,41001,2011,50,17,0
252,41551,2011,50,17,0
253,41298,2011,50,5,0
254,41396,2011,50,5,0
255,41001,2011,50,5,0
256,41551,2011,50,5,0
257,41298,2011,51,17,0
258,41396,2011,51,17,0
259,41001,2011,51,17,0
260,41551,2011,51,17,0
261,41298,2011,51,5,0
262,41396,2011,51,5,0
263,41001,2011,51,5,0
264,41551,2011,51,5,0
265,41298,2011,52,17,0
266,41396,2011,52,17,0
267,41001,2011,52,17,3
268,41551,2011,52,17,0
269,41298,2011,52,5,0
270,41396,2011,52,5,0
271,41001,2011,52,5,0
272,41551,2011,52,5,0
273,41298,2011,53,17,0
274,41396,2011,53,17,2
275,41001,2011,53,17,0
276,41551,2011,53,17,0
277,41298,2011,53,5,0
278,41396,2011,53,5,2
279,41001,2011,53,5,0
280,41551,2011,53,5,0
281,41298,2011,54,17,0
282,41396,2011,54,17,2
283,41001,2011,54,17,3
284,41551,2011,54,17,0
285,41298,2011,54,5,0
286,41396,2011,54,5,2
287,41001,2011,54,5,0
288,41551,2011,54,5,0
289,41298,2010,46,17,66
290,41396,2010,46,17,64
291,41001,2010,46,17,133
292,41551,2010,46,17,77
293,41298,2010,46,5,66
294,41396,2010,46,5,64
295,41001,2010,46,5,134
296,41551,2010,46,5,77
297,41298,2010,47,17,0
298,41396,2010,47,17,0
299,41001,2010,47,17,2
300,41551,2010,47,17,2
301,41298,2010,47,5,0
302,41396,2010,47,5,0
303,41001,2010,47,5,2
304,41551,2010,47,5,2
305,41298,2010,48,17,0
306,41396,2010,48,17,37
307,41001,2010,48,17,3
308,41551,2010,48,17,159
309,41298,2010,48,5,0
310,41396,2010,48,5,43
311,41001,2010,48,5,3
312,41551,2010,48,5,225
313,41298,2010,49,17,0
314,41396,2010,49,17,2
315,41001,2010,49,17,1
316,41551,2010,49,17,0
317,41298,2010,49,5,0
318,41396,2010,49,5,2
319,41001,2010,49,5,1
320,41551,2010,49,5,0
321,41298,2010,50,17,0
322,41396,2010,50,17,0
323,41001,2010,50,17,0
324,41551,2010,50,17,0
325,41298,2010,50,5,0
326,41396,2010,50,5,0
327,41001,2010,50,5,0
328,41551,2010,50,5,0
329,41298,2010,51,17,0
330,41396,2010,51,17,0
331,41001,2010,51,17,0
332,41551,2010,51,17,0
333,41298,2010,51,5,0
334,41396,2010,51,5,0
335,41001,2010,51,5,0
336,41551,2010,51,5,0
337,41298,2010,52,17,0
