vihcla_codigo,vihcla_anio,vihcla_codClasificacion,vihcl_numeroCasos
1,2014,1,115
2,2014,2,24
3,2014,3,7
4,2014,4,6
5,2011,1,74
6,2001,2,20
7,2011,3,18
8,2010,1,60
9,2010,2,17
10,2010,3,17
11,2009,1,67
12,2009,2,21
13,2009,3,26
14,2008,1,74
15,2008,2,7
16,2008,3,9
17,2007,1,100
18,2007,2,6
19,2006,1,47
20,2006,2,35
21,2004,1,47
22,2004,2,35
23,2003,1,62
24,2003,2,52
